Time,T_1_1,T_1_2,T_1_3,T_1_4,T_1_5,T_2_1,T_2_2,T_2_3,T_2_4,T_2_5,T_3_1,T_3_2,T_3_3,T_3_4,T_3_5,T_4_1,T_4_2,T_4_3,T_4_4,T_4_5,T_5_1,T_5_2,T_5_3,T_5_4,T_5_5,T_top,T_bot,T_N,T_S,T_E,T_W
6/20/2024 2:24:11 PM,22.481344,22.256725,21.754910,21.913266,21.816832,22.786949,22.261554,22.056615,21.965043,21.965273,22.662433,22.064437,21.947094,22.012672,21.943642,-56631.220883,22.466008,22.467617,22.242991,22.161805,22.215624,21.985816,21.935423,22.040345,21.724816,21.583208,23.965298,23.263177,23.185839,23.216133,24.584006,23.273503
6/20/2024 2:24:41 PM,22.322650,21.534020,21.665281,21.891104,21.694522,22.592050,22.026867,21.904452,21.834486,21.798348,22.683042,22.139820,21.867859,21.860724,21.728366,-56626.829583,22.499691,22.505667,22.257604,22.138929,22.037249,21.975586,21.844181,22.020223,21.857761,21.499960,23.944112,23.220847,23.177930,23.190553,24.503345,23.259630
6/20/2024 2:25:11 PM,22.013268,21.504744,21.284036,21.519946,21.602394,22.498948,21.974383,21.860470,21.752054,21.744917,22.588809,22.080907,21.872668,21.764485,21.816508,-56623.136595,22.507480,22.494149,22.203074,22.045276,21.987296,21.840934,21.839783,21.778785,21.683704,21.579163,23.912464,23.183184,23.161839,23.126491,24.490961,23.226330
6/20/2024 2:25:41 PM,22.256667,21.378082,21.226459,21.532189,21.608878,22.525646,21.936221,21.808027,21.730910,21.620392,22.849366,21.944965,21.671740,21.744723,21.823910,-56621.030078,22.439824,22.489704,22.263479,22.148255,22.159526,21.770649,21.749701,21.786533,21.793669,21.448029,23.885803,23.143398,23.162219,23.174154,24.416492,23.194351
6/20/2024 2:26:11 PM,22.202127,21.830549,21.506587,21.396247,21.364453,22.529517,22.010047,21.747450,21.662494,21.554724,22.154287,21.713608,21.423201,21.601704,21.461671,-56616.646652,22.436432,22.431145,22.187872,22.064808,22.042262,21.913407,21.623124,21.836307,21.779913,21.499452,23.903734,23.112926,23.106269,23.161357,24.393655,23.199915
6/20/2024 2:28:11 PM,21.830243,20.889976,21.099804,21.288570,21.272439,22.443707,21.863386,21.645610,21.552805,21.450769,22.630325,21.623734,21.387416,21.298709,21.311382,-56600.358935,22.132991,22.230281,22.003701,21.876446,21.765502,21.521424,21.470751,21.484341,21.422145,21.246339,23.743614,22.967463,23.061366,23.105901,24.235991,23.130003
6/20/2024 2:28:41 PM,22.044826,21.077326,21.079401,21.293753,21.419553,22.306108,21.654243,21.554301,21.516299,21.457332,22.080715,21.426003,21.414484,21.417710,21.181288,-56597.827275,22.194455,22.242521,21.956583,21.825403,21.798932,21.459976,21.531610,21.661491,21.564084,21.200759,23.709508,22.936286,23.047185,23.081161,24.229402,23.110085
6/20/2024 2:29:11 PM,21.688386,20.971332,21.259253,21.366630,21.239664,22.293757,21.791522,21.618387,21.512680,21.412247,22.445266,21.444037,21.201175,21.129030,21.138711,-56593.860243,22.200505,22.187166,21.967008,21.845498,21.749740,21.538821,21.459586,21.708531,21.416048,21.183082,23.695135,22.896858,23.036465,23.058504,24.177944,23.086282
6/20/2024 2:29:41 PM,21.648629,20.777901,20.924134,21.300347,21.277995,22.311309,21.812315,21.622609,21.503773,21.405412,22.294753,21.607871,21.273156,21.285600,21.339980,-56592.205501,22.106722,22.128805,21.838654,21.720564,21.688332,21.492587,21.470705,21.737140,21.258277,21.197664,23.654615,22.863390,22.999562,23.048235,24.136778,23.079227
6/20/2024 2:30:11 PM,21.535001,21.300712,21.145376,21.370297,21.217980,22.239468,21.721980,21.606393,21.514272,21.359929,21.942482,21.483868,21.316611,21.261076,21.230656,-56589.678525,22.063187,22.114486,21.885319,21.777139,21.682519,21.541589,21.449225,21.440471,21.331267,21.125231,23.666940,22.838988,22.952895,23.047260,24.079914,23.045883
